20140925	toe
20141003	CG16863
20141003	CG16863
20141003	CG16863
20141003	CG16863
20141008	CG5204
20141008	CG5204
20141008	CG5204
20141007	Myb
20141007	Myb
20141007	Myb
20141007	NC2alpha
20141007	NC2alpha
20141007	NC2alpha
20141009	CG11398
20141009	CG11398
20141009	CG11398
20141009	CG1792
20141009	CG1792
20141009	CG1792
20141009	CG7786
20141009	CG7786
20141009	CG7786
20140924	Hr96
20140924	Hr96
20140924	Hr96
20141021	HmgD
20141021	HmgD
20141021	HmgD
20141021	HmgD
20141021	dpn
20141021	dpn
20141021	dpn
20141021	dpn
20141022	Su(var)3-7
20141022	Su(var)3-7
20141022	Su(var)3-7
20141022	Su(var)3-7
20141022	Sry-delta
20141022	Sry-delta
20141022	Sry-delta
20141023	Mes4
20141023	Mes4
20141023	Mes4
20141023	Mes4
20141023	Mes4
20141023	pho
20141023	pho
20141023	pho
20141023	Hr39
20141023	Hr39
20141023	Hr39
20141023	Hr39
20141115	Atf3
20141115	Atf3
20141115	Atf3
20141115	Atf3
20141115	CG8089
20141115	CG8089
20141115	CG8089
20141115	CG8089
20141115	dm
20141115	dm
20141115	dm
20141115	dm
20141119	NK7.1
20141119	NK7.1
20141119	NK7.1
20141119	NK7.1
20141119	CHES-1-like
20141119	CHES-1-like
20141119	CHES-1-like
20141119	Slp2
20141119	Slp2
20141119	Slp2
20141122	CG13624
20141122	CG13624
20141122	CG13624
20141122	Camta
20141122	Camta
20141122	Camta
20141122	maf-S
20141122	maf-S
20141122	maf-S
20141122	mam
20141122	mam
20141122	mam
20141122	mam
20141122	pum
20141122	pum
20141122	pum
